[2025-12-08 00:11:58] GET id=39, fuente=noticia
[2025-12-08 00:11:58] ✓ Noticia encontrada: ID=39, Título=¿Querés hacer camping y no sabés dónde? 5 destinos que te van a encantar
[2025-12-08 00:12:08] GET id=40, fuente=noticia
[2025-12-08 00:12:08] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-08 00:12:21] GET id=39, fuente=noticia
[2025-12-08 00:12:21] ✓ Noticia encontrada: ID=39, Título=¿Querés hacer camping y no sabés dónde? 5 destinos que te van a encantar
[2025-12-08 00:12:47] GET id=40, fuente=noticia
[2025-12-08 00:12:47] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-08 00:13:02] GET id=68, fuente=noticia
[2025-12-08 00:13:02] ✗ Noticia NO encontrada para id=68 en tabla noticia
[2025-12-08 00:13:05] GET id=52, fuente=noticia
[2025-12-08 00:13:05] ✓ Noticia encontrada: ID=52, Título=Tormentas de arena avanzan sobre América del Sur y el Caribe
[2025-12-08 00:13:42] GET id=42, fuente=noticia
[2025-12-08 00:13:42] ✓ Noticia encontrada: ID=42, Título=¿Cómo reservar una cabaña en el Club de Playa del Instituto Salvadoreño de Pensiones?
[2025-12-08 00:22:12] GET id=50, fuente=noticia
[2025-12-08 00:22:12] ✓ Noticia encontrada: ID=50, Título=Mientras Saprissa ya se despidió de la Copa Centroamericana, Concacaf confirma el duro castigo que golpea a Vladimir Quesada
[2025-12-08 00:22:23] GET id=45, fuente=noticia
[2025-12-08 00:22:23] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 00:23:07] GET id=51, fuente=noticia
[2025-12-08 00:23:07] ✓ Noticia encontrada: ID=51, Título=Selecta Sub 17 alista su debut ante Corea del Norte en el Mundial de Catar 2025
[2025-12-08 00:23:10] GET id=39, fuente=noticia
[2025-12-08 00:23:10] ✓ Noticia encontrada: ID=39, Título=¿Querés hacer camping y no sabés dónde? 5 destinos que te van a encantar
[2025-12-08 00:23:13] GET id=45, fuente=noticia
[2025-12-08 00:23:13] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-08 00:23:18] GET id=40, fuente=noticia
[2025-12-08 00:23:18] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
